manuscript_location,citation_key,source_file,verified_bibliographic_fields,claim_supported,verification_status
manuscript/manuscript.md:85,bloomer2009,manuscript/references.bib:bloomer2009,"{""doi"": ""10.1029/2009GL037308"", ""key"": ""bloomer2009"", ""title"": ""Observed relationships of ozone air pollution with temperature and emissions"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2009""}",[@bloomer2009; @rasmussen2012; @pusede2015]. These relationships are not expected,verified_repository_bibliography
manuscript/manuscript.md:85,pusede2015,manuscript/references.bib:pusede2015,"{""doi"": ""10.1021/cr5006815"", ""key"": ""pusede2015"", ""title"": ""Temperature and Recent Trends in the Chemistry of Continental Surface Ozone"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2015""}",[@bloomer2009; @rasmussen2012; @pusede2015]. These relationships are not expected,verified_repository_bibliography
manuscript/manuscript.md:85,rasmussen2012,manuscript/references.bib:rasmussen2012,"{""doi"": ""10.1016/j.atmosenv.2011.11.021"", ""key"": ""rasmussen2012"", ""title"": ""Surface ozone-temperature relationships in the eastern US: A monthly climatology for evaluating chemistry-climate models"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2012""}",[@bloomer2009; @rasmussen2012; @pusede2015]. These relationships are not expected,verified_repository_bibliography
manuscript/manuscript.md:88,bao2025,manuscript/references.bib:bao2025,"{""doi"": ""10.1038/s44407-025-00023-8"", ""key"": ""bao2025"", ""title"": ""Comparative analysis of the impact of rising temperatures on ozone levels in China and the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:88,chang2025,manuscript/references.bib:chang2025,"{""doi"": ""10.5194/acp-25-5101-2025"", ""key"": ""chang2025"", ""title"": ""Surface ozone trend variability across the United States and the impact of heat waves (1990--2023)"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:88,li2025,manuscript/references.bib:li2025,"{""doi"": ""10.5194/acp-25-2725-2025"", ""key"": ""li2025"", ""title"": ""Anthropogenic emission controls reduce summertime ozone--temperature sensitivity in the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:88,ninneman2021,manuscript/references.bib:ninneman2021,"{""doi"": ""10.3390/atmos12101235"", ""key"": ""ninneman2021"", ""title"": ""Observed Relationship between Ozone and Temperature for Urban Nonattainment Areas in the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2021""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:88,nolte2021,manuscript/references.bib:nolte2021,"{""doi"": ""10.1080/10962247.2021.1970048"", ""key"": ""nolte2021"", ""title"": ""Regional Temperature-Ozone Relationships Across the U.S. Under Multiple Climate and Emissions Scenarios"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2021""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:104,noaa_us_climate_regions,manuscript/references.bib:noaa_us_climate_regions,"{""key"": ""noaa_us_climate_regions"", ""title"": ""U.S. Climate Regions"", ""type"": ""online"", ""url"": ""https://www.ncei.noaa.gov/access/monitoring/reference-maps/us-climate-regions"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}","[@noaa_us_climate_regions], followed by equal-site national aggregation. The represented",verified_repository_bibliography
manuscript/manuscript.md:153,epa_airdata,manuscript/references.bib:epa_airdata,"{""key"": ""epa_airdata"", ""title"": ""Pre-Generated Data Files"", ""type"": ""online"", ""url"": ""https://aqs.epa.gov/aqsweb/airdata/download_files.html"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}",[@epa_formats; @epa_airdata]. Maximum daily 8-hour average ozone (MDA8) values,verified_repository_bibliography
manuscript/manuscript.md:153,epa_formats,manuscript/references.bib:epa_formats,"{""key"": ""epa_formats"", ""title"": ""AirData Download Files Documentation"", ""type"": ""online"", ""url"": ""https://aqs.epa.gov/aqsweb/airdata/FileFormats.html"", ""verified_fields"": [""author"", ""title"", ""url"", ""version"", ""date"", ""urldate""], ""year"": ""2015""}",[@epa_formats; @epa_airdata]. Maximum daily 8-hour average ozone (MDA8) values,verified_repository_bibliography
manuscript/manuscript.md:161,ecfr_appendix_u,manuscript/references.bib:ecfr_appendix_u,"{""key"": ""ecfr_appendix_u"", ""title"": ""40 CFR Part 50, Appendix U: Interpretation of the Primary and Secondary National Ambient Air Quality Standards for Ozone"", ""type"": ""online"", ""url"": ""https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-50/appendix-Appendix%20U%20to%20Part%2050"", ""verified_fields"": [""author"", ""title"", ""organization"", ""url"", ""urldate""], ""year"": null}",conventions [@ecfr_appendix_u]. Each candidate 8-hour window required at least,verified_repository_bibliography
manuscript/manuscript.md:183,menne2012dataset,manuscript/references.bib:menne2012dataset,"{""doi"": ""10.7289/V5D21VHZ"", ""key"": ""menne2012dataset"", ""title"": ""Global Historical Climatology Network - Daily (GHCN-Daily), Version 3"", ""type"": ""dataset"", ""verified_fields"": [""author"", ""title"", ""publisher"", ""year"", ""doi"", ""note""], ""year"": ""2012""}",[@menne2012dataset; @menne2012overview]. Quality-accepted TMAX records were,verified_repository_bibliography
manuscript/manuscript.md:183,menne2012overview,manuscript/references.bib:menne2012overview,"{""doi"": ""10.1175/JTECH-D-11-00103.1"", ""key"": ""menne2012overview"", ""title"": ""An Overview of the Global Historical Climatology Network-Daily Database"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2012""}",[@menne2012dataset; @menne2012overview]. Quality-accepted TMAX records were,verified_repository_bibliography
manuscript/manuscript.md:214,noaa_us_climate_regions,manuscript/references.bib:noaa_us_climate_regions,"{""key"": ""noaa_us_climate_regions"", ""title"": ""U.S. Climate Regions"", ""type"": ""online"", ""url"": ""https://www.ncei.noaa.gov/access/monitoring/reference-maps/us-climate-regions"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}",[@noaa_us_climate_regions]. The District of Columbia was assigned to the,verified_repository_bibliography
manuscript/manuscript.md:654,bloomer2009,manuscript/references.bib:bloomer2009,"{""doi"": ""10.1029/2009GL037308"", ""key"": ""bloomer2009"", ""title"": ""Observed relationships of ozone air pollution with temperature and emissions"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2009""}",topics [@bloomer2009; @rasmussen2012; @pusede2015; @ninneman2021; @nolte2021].,verified_repository_bibliography
manuscript/manuscript.md:654,ninneman2021,manuscript/references.bib:ninneman2021,"{""doi"": ""10.3390/atmos12101235"", ""key"": ""ninneman2021"", ""title"": ""Observed Relationship between Ozone and Temperature for Urban Nonattainment Areas in the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2021""}",topics [@bloomer2009; @rasmussen2012; @pusede2015; @ninneman2021; @nolte2021].,verified_repository_bibliography
manuscript/manuscript.md:654,nolte2021,manuscript/references.bib:nolte2021,"{""doi"": ""10.1080/10962247.2021.1970048"", ""key"": ""nolte2021"", ""title"": ""Regional Temperature-Ozone Relationships Across the U.S. Under Multiple Climate and Emissions Scenarios"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2021""}",topics [@bloomer2009; @rasmussen2012; @pusede2015; @ninneman2021; @nolte2021].,verified_repository_bibliography
manuscript/manuscript.md:654,pusede2015,manuscript/references.bib:pusede2015,"{""doi"": ""10.1021/cr5006815"", ""key"": ""pusede2015"", ""title"": ""Temperature and Recent Trends in the Chemistry of Continental Surface Ozone"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2015""}",topics [@bloomer2009; @rasmussen2012; @pusede2015; @ninneman2021; @nolte2021].,verified_repository_bibliography
manuscript/manuscript.md:654,rasmussen2012,manuscript/references.bib:rasmussen2012,"{""doi"": ""10.1016/j.atmosenv.2011.11.021"", ""key"": ""rasmussen2012"", ""title"": ""Surface ozone-temperature relationships in the eastern US: A monthly climatology for evaluating chemistry-climate models"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2012""}",topics [@bloomer2009; @rasmussen2012; @pusede2015; @ninneman2021; @nolte2021].,verified_repository_bibliography
manuscript/manuscript.md:656,bao2025,manuscript/references.bib:bao2025,"{""doi"": ""10.1038/s44407-025-00023-8"", ""key"": ""bao2025"", ""title"": ""Comparative analysis of the impact of rising temperatures on ozone levels in China and the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",ozone trends [@li2025; @chang2025; @bao2025]. Wells et al. and Camalier et al.,verified_repository_bibliography
manuscript/manuscript.md:656,chang2025,manuscript/references.bib:chang2025,"{""doi"": ""10.5194/acp-25-5101-2025"", ""key"": ""chang2025"", ""title"": ""Surface ozone trend variability across the United States and the impact of heat waves (1990--2023)"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",ozone trends [@li2025; @chang2025; @bao2025]. Wells et al. and Camalier et al.,verified_repository_bibliography
manuscript/manuscript.md:656,li2025,manuscript/references.bib:li2025,"{""doi"": ""10.5194/acp-25-2725-2025"", ""key"": ""li2025"", ""title"": ""Anthropogenic emission controls reduce summertime ozone--temperature sensitivity in the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",ozone trends [@li2025; @chang2025; @bao2025]. Wells et al. and Camalier et al.,verified_repository_bibliography
manuscript/manuscript.md:658,camalier2007_meteorology_ozone,manuscript/references.bib:camalier2007_meteorology_ozone,"{""doi"": ""10.1016/j.atmosenv.2007.04.061"", ""key"": ""camalier2007_meteorology_ozone"", ""title"": ""The effects of meteorology on ozone in urban areas and their use in assessing ozone trends"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2007""}",[@wells2021_meteorological_ozone; @camalier2007_meteorology_ozone]. The present,verified_repository_bibliography
manuscript/manuscript.md:658,wells2021_meteorological_ozone,manuscript/references.bib:wells2021_meteorological_ozone,"{""doi"": ""10.1016/j.atmosenv.2021.118234"", ""key"": ""wells2021_meteorological_ozone"", ""title"": ""Improved estimation of trends in U.S. ozone concentrations adjusted for interannual variability in meteorological conditions"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2021""}",[@wells2021_meteorological_ozone; @camalier2007_meteorology_ozone]. The present,verified_repository_bibliography
manuscript/manuscript.md:700,epa2026_cy2025_certification,manuscript/references.bib:epa2026_cy2025_certification,"{""key"": ""epa2026_cy2025_certification"", ""title"": ""Questions and Answers on Ambient Air Monitoring Data Certification for CY2025 Data"", ""type"": ""online"", ""url"": ""https://www.epa.gov/system/files/documents/2026-02/ambient-air-monitoring-data-certification-qa-for-cy2025_final.pdf"", ""verified_fields"": [""author"", ""title"", ""date"", ""url"", ""urldate""], ""year"": ""2026""}",evaluation flags [@epa2026_cy2025_certification]. The Family 4 rules were,verified_repository_bibliography
manuscript/manuscript.md:753,epa_airdata,manuscript/references.bib:epa_airdata,"{""key"": ""epa_airdata"", ""title"": ""Pre-Generated Data Files"", ""type"": ""online"", ""url"": ""https://aqs.epa.gov/aqsweb/airdata/download_files.html"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}",[@epa_formats; @epa_airdata; @menne2012dataset]. EPA states that AQS ambient,verified_repository_bibliography
manuscript/manuscript.md:753,epa_formats,manuscript/references.bib:epa_formats,"{""key"": ""epa_formats"", ""title"": ""AirData Download Files Documentation"", ""type"": ""online"", ""url"": ""https://aqs.epa.gov/aqsweb/airdata/FileFormats.html"", ""verified_fields"": [""author"", ""title"", ""url"", ""version"", ""date"", ""urldate""], ""year"": ""2015""}",[@epa_formats; @epa_airdata; @menne2012dataset]. EPA states that AQS ambient,verified_repository_bibliography
manuscript/manuscript.md:753,menne2012dataset,manuscript/references.bib:menne2012dataset,"{""doi"": ""10.7289/V5D21VHZ"", ""key"": ""menne2012dataset"", ""title"": ""Global Historical Climatology Network - Daily (GHCN-Daily), Version 3"", ""type"": ""dataset"", ""verified_fields"": [""author"", ""title"", ""publisher"", ""year"", ""doi"", ""note""], ""year"": ""2012""}",[@epa_formats; @epa_airdata; @menne2012dataset]. EPA states that AQS ambient,verified_repository_bibliography
manuscript/manuscript.md:755,epa_airdata_public_domain,manuscript/references.bib:epa_airdata_public_domain,"{""key"": ""epa_airdata_public_domain"", ""title"": ""Do I Need to Request Permission to Use Monitoring Data and Graphics from AirData?"", ""type"": ""online"", ""url"": ""https://www.epa.gov/outdoor-air-quality-data/do-i-need-request-permission-use-monitoring-data-and-graphics-airdata"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}","requesting permission [@epa_airdata_public_domain]. Raw-source URLs,",verified_repository_bibliography
manuscript/supplement.md:28,epa_airdata,manuscript/references.bib:epa_airdata,"{""key"": ""epa_airdata"", ""title"": ""Pre-Generated Data Files"", ""type"": ""online"", ""url"": ""https://aqs.epa.gov/aqsweb/airdata/download_files.html"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}",the ozone observations [@epa_formats; @epa_airdata]. The source window was,verified_repository_bibliography
manuscript/supplement.md:28,epa_formats,manuscript/references.bib:epa_formats,"{""key"": ""epa_formats"", ""title"": ""AirData Download Files Documentation"", ""type"": ""online"", ""url"": ""https://aqs.epa.gov/aqsweb/airdata/FileFormats.html"", ""verified_fields"": [""author"", ""title"", ""url"", ""version"", ""date"", ""urldate""], ""year"": ""2015""}",the ozone observations [@epa_formats; @epa_airdata]. The source window was,verified_repository_bibliography
manuscript/supplement.md:45,ecfr_appendix_u,manuscript/references.bib:ecfr_appendix_u,"{""key"": ""ecfr_appendix_u"", ""title"": ""40 CFR Part 50, Appendix U: Interpretation of the Primary and Secondary National Ambient Air Quality Standards for Ozone"", ""type"": ""online"", ""url"": ""https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-50/appendix-Appendix%20U%20to%20Part%2050"", ""verified_fields"": [""author"", ""title"", ""organization"", ""url"", ""urldate""], ""year"": null}",[@ecfr_appendix_u]. Source ppm values and reconstructed window means were,verified_repository_bibliography
manuscript/supplement.md:53,menne2012dataset,manuscript/references.bib:menne2012dataset,"{""doi"": ""10.7289/V5D21VHZ"", ""key"": ""menne2012dataset"", ""title"": ""Global Historical Climatology Network - Daily (GHCN-Daily), Version 3"", ""type"": ""dataset"", ""verified_fields"": [""author"", ""title"", ""publisher"", ""year"", ""doi"", ""note""], ""year"": ""2012""}",[@menne2012dataset; @menne2012overview]. Records with nonblank quality flags,verified_repository_bibliography
manuscript/supplement.md:53,menne2012overview,manuscript/references.bib:menne2012overview,"{""doi"": ""10.1175/JTECH-D-11-00103.1"", ""key"": ""menne2012overview"", ""title"": ""An Overview of the Global Historical Climatology Network-Daily Database"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2012""}",[@menne2012dataset; @menne2012overview]. Records with nonblank quality flags,verified_repository_bibliography
manuscript/supplement.md:67,noaa_us_climate_regions,manuscript/references.bib:noaa_us_climate_regions,"{""key"": ""noaa_us_climate_regions"", ""title"": ""U.S. Climate Regions"", ""type"": ""online"", ""url"": ""https://www.ncei.noaa.gov/access/monitoring/reference-maps/us-climate-regions"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}",[@noaa_us_climate_regions]. The District of Columbia was assigned to the,verified_repository_bibliography
manuscript/supplement.md:797,epa2026_cy2025_certification,manuscript/references.bib:epa2026_cy2025_certification,"{""key"": ""epa2026_cy2025_certification"", ""title"": ""Questions and Answers on Ambient Air Monitoring Data Certification for CY2025 Data"", ""type"": ""online"", ""url"": ""https://www.epa.gov/system/files/documents/2026-02/ambient-air-monitoring-data-certification-qa-for-cy2025_final.pdf"", ""verified_fields"": [""author"", ""title"", ""date"", ""url"", ""urldate""], ""year"": ""2026""}",[@epa2026_cy2025_certification]. These Family 4 categories were prospectively,verified_repository_bibliography
